sum_mse_ols,sum_mse_mlp,sum_mse_lstm30,sum_mse_lstm90,sum_time_ols,sum_time_mlp,sum_time_lstm30,sum_time_lstm90,avg_mse_ols,avg_mse_mlp,avg_mse_lstm30,avg_mse_lstm90,avg_time_ols,avg_time_mlp,avg_time_lstm30,avg_time_lstm90
0.0139190430129,0.0145241121393,0.0233533291894,0.0213607692847,0.599648952484,571.538367033,759.044310093,1137.60339999,0.000217485047076,0.000226939252177,0.000364895768584,0.000333762020074,0.00936951488256,8.93028698489,11.8600673452,17.7750531249
0.0167513831218,0.0180188646091,0.0283113640357,0.0256566614045,0.602322101593,568.955049992,738.300886154,1132.38996005,0.000261740361278,0.000281544759517,0.000442365063058,0.000400885334446,0.00941128283739,8.88992265612,11.5359513462,17.6935931258
0.014357689154,0.0148189751546,0.0267583236831,0.0211516897097,0.597244024277,532.8764081,778.115347147,1190.824929,0.000224338893031,0.00023154648679,0.000418098807549,0.000330495151714,0.00933193787932,8.32619387656,12.1580522992,18.6066395156
0.0177729468476,0.0181577765333,0.0277960814862,0.0249157026727,0.594912052155,532.511121035,786.928174019,1206.4121151,0.000277702294494,0.000283715258332,0.000434313773222,0.00038930785426,0.00929550081491,8.32048626617,12.295752719,18.8501892984
0.0198619390695,0.0207793429242,0.0312690092302,0.0270905878111,0.603526115417,577.549402952,782.79442811,1244.476547,0.000310342797961,0.00032467723319,0.000488578269221,0.000423290434549,0.0094300955534,9.02420942113,12.2311629392,19.4449460469
0.0218468663524,0.0223482696328,0.0285339009283,0.0254092884358,0.597720146179,531.897035837,753.867751837,1168.345011,0.000341357286757,0.000349191713012,0.000445842202005,0.000397020131809,0.00933937728405,8.31089118496,11.7791836224,18.2553907968
0.0210443071902,0.022538279207,0.0356519766132,0.0320277299469,0.592847108841,530.347710133,757.251137972,1173.28204417,0.000328817299848,0.00035216061261,0.000557062134582,0.00050043328042,0.00926323607564,8.28668297082,11.8320490308,18.3325319402
0.0230341367473,0.0234415147497,0.0362159413788,0.0338597920486,0.601954936981,571.544837952,794.068499088,1268.34781504,0.000359908386676,0.000366273667964,0.000565874084043,0.00052905925076,0.00940554589033,8.93038809299,12.4073202983,19.8179346099
0.016340641823,0.0167790163811,0.0245823545627,0.0207542873694,0.594186067581,535.277359009,766.95174098,1172.98667192,0.000255322528485,0.000262172130955,0.000384099290043,0.000324285740146,0.00928415730596,8.36370873451,11.9836209528,18.3279167488
0.0134075692338,0.0138616658849,0.0227421770518,0.0194849014572,0.605273008347,575.349695206,789.769717932,1257.08352089,0.000209493269278,0.000216588529451,0.000355346516434,0.000304451585269,0.00945739075541,8.98983898759,12.3401518427,19.6419300139
0.015373392767,0.0157904241981,0.0297472855952,0.026137460499,0.597424983978,529.675444841,797.327301979,1278.713974,0.000240209261984,0.000246725378095,0.000464801337425,0.000408397820297,0.00933476537466,8.27617882565,12.4582390934,19.9799058437
0.0177141050158,0.0182233481475,0.0269334942091,0.0239808992856,0.596552848816,534.019033909,820.204653025,1337.64615798,0.000276782890872,0.000284739814804,0.000420835847018,0.000374701551338,0.00932113826275,8.34404740483,12.8156977035,20.9007212184
0.015200300265,0.0156589018648,0.0273710086161,0.0225750440697,0.598877191544,538.400140047,788.917490005,1204.86526203,0.00023750469164,0.000244670341637,0.000427672009627,0.000352735063589,0.00935745611787,8.41250218824,12.3268357813,18.8260197192
0.0143974280591,0.0148362766904,0.0273277997721,0.0246339835058,0.597980976105,534.78668499,814.503075123,1351.18076015,0.000224959813424,0.000231816823287,0.000426996871439,0.000384905992278,0.00934345275164,8.35604195297,12.7266105488,21.1121993773
0.0156818995025,0.0161328897901,0.0252332673554,0.0221270005996,0.595817089081,529.412336111,772.455945015,1208.59826612,0.000245029679726,0.000252076402971,0.000394269802429,0.000345734384369,0.00930964201689,8.27206775174,12.0696241409,18.8843479082
0.0137949224796,0.0143574633649,0.0251448266603,0.0228937165997,0.602593898773,568.625066996,761.54042387,1188.5626471,0.000215545663744,0.000224335365076,0.000392887916568,0.00035771432187,0.00941552966833,8.88476667181,11.899069123,18.571291361
